A,B,C,D,AVERAGE
693.0,680.0,197.0,646.0,554.0
854.0,140.0,753.0,298.0,511.25
836.0,161.0,944.0,115.0,514.0
59.0,436.0,585.0,385.0,366.25
931.0,778.0,726.0,189.0,656.0
282.0,484.0,941.0,230.0,484.25
591.0,279.0,945.0,176.0,497.75
56.0,620.0,362.0,224.0,315.5
563.0,906.0,121.0,862.0,613.0
223.0,899.0,219.0,975.0,579.0
376.0,835.0,669.0,287.0,541.75
19.0,372.0,587.0,629.0,401.75
677.0,873.0,177.0,206.0,483.25
478.0,679.0,378.0,835.0,592.5
987.0,378.0,44.0,704.0,528.25
823.0,611.0,554.0,584.0,643.0
878.0,230.0,18.0,974.0,525.0
840.0,672.0,302.0,797.0,652.75
893.0,355.0,86.0,172.0,376.5
825.0,285.0,275.0,208.0,398.25
914.0,640.0,115.0,35.0,426.0
202.0,450.0,936.0,791.0,594.75
171.0,570.0,48.0,877.0,416.5
821.0,675.0,445.0,446.0,596.75
461.0,76.0,374.0,220.0,282.75
846.0,44.0,563.0,184.0,409.25
800.0,719.0,438.0,498.0,613.75
566.0,711.0,743.0,765.0,696.25
47.0,930.0,208.0,968.0,538.25
657.0,725.0,644.0,555.0,645.25
171.0,346.0,995.0,624.0,534.0
756.0,941.0,739.0,405.0,710.25
716.0,352.0,151.0,652.0,467.75
275.0,611.0,571.0,30.0,371.75
139.0,660.0,954.0,588.0,585.25
192.0,2.0,145.0,40.0,94.75
244.0,486.0,361.0,469.0,390.0
995.0,493.0,364.0,234.0,521.5
854.0,522.0,741.0,613.0,682.5
135.0,811.0,912.0,832.0,672.5
750.0,651.0,509.0,824.0,683.5
582.0,54.0,844.0,931.0,602.75
115.0,471.0,346.0,637.0,392.25
565.0,446.0,763.0,810.0,646.0
282.0,644.0,173.0,90.0,297.25
780.0,853.0,5.0,737.0,593.75
148.0,581.0,602.0,689.0,505.0
333.0,805.0,376.0,672.0,546.5
405.0,516.0,573.0,911.0,601.25
831.0,406.0,331.0,619.0,546.75
368.0,337.0,336.0,81.0,280.5
523.0,304.0,155.0,177.0,289.75
782.0,678.0,822.0,577.0,714.75
23.0,789.0,407.0,66.0,321.25
600.0,295.0,154.0,314.0,340.75
465.0,910.0,656.0,978.0,752.25
846.0,671.0,138.0,536.0,547.75
636.0,678.0,403.0,985.0,675.5
293.0,653.0,530.0,200.0,419.0
513.0,492.0,685.0,437.0,531.75
343.0,409.0,434.0,93.0,319.75
173.0,707.0,357.0,98.0,333.75
852.0,537.0,720.0,440.0,637.25
198.0,286.0,347.0,113.0,236.0
788.0,29.0,431.0,526.0,443.5
226.0,858.0,364.0,70.0,379.5
222.0,56.0,824.0,314.0,354.0
273.0,129.0,801.0,666.0,467.25
265.0,913.0,387.0,635.0,550.0
831.0,56.0,841.0,929.0,664.25
283.0,590.0,277.0,21.0,292.75
225.0,404.0,483.0,285.0,349.25
341.0,218.0,356.0,789.0,426.0
656.0,917.0,695.0,913.0,795.25
680.0,33.0,366.0,72.0,287.75
848.0,845.0,463.0,529.0,671.25
274.0,620.0,298.0,764.0,489.0
440.0,820.0,826.0,125.0,552.75
397.0,733.0,67.0,183.0,345.0
338.0,256.0,243.0,733.0,392.5
248.0,909.0,219.0,269.0,411.25
811.0,764.0,712.0,960.0,811.75
553.0,850.0,877.0,720.0,750.0
941.0,68.0,647.0,812.0,617.0
857.0,533.0,311.0,793.0,623.5
900.0,862.0,19.0,968.0,687.25
236.0,819.0,984.0,323.0,590.5
936.0,440.0,266.0,258.0,475.0
41.0,786.0,226.0,390.0,360.75
482.0,9.0,52.0,512.0,263.75
362.0,924.0,96.0,827.0,552.25
191.0,271.0,239.0,769.0,367.5
69.0,852.0,292.0,701.0,478.5
0.0,611.0,375.0,359.0,336.25
821.0,419.0,99.0,489.0,457.0
133.0,670.0,562.0,210.0,393.75
87.0,982.0,171.0,640.0,470.0
774.0,910.0,430.0,443.0,639.25
765.0,276.0,512.0,392.0,486.25
773.0,472.0,996.0,894.0,783.75
161.0,545.0,825.0,935.0,616.5
761.0,239.0,315.0,962.0,569.25
721.0,482.0,156.0,720.0,519.75
17.0,713.0,609.0,275.0,403.5
502.0,316.0,840.0,848.0,626.5
922.0,851.0,978.0,575.0,831.5
24.0,758.0,954.0,794.0,632.5
361.0,768.0,914.0,534.0,644.25
707.0,362.0,239.0,759.0,516.75
174.0,160.0,980.0,27.0,335.25
645.0,786.0,87.0,667.0,546.25
593.0,14.0,154.0,827.0,397.0
152.0,291.0,121.0,620.0,296.0
274.0,333.0,299.0,196.0,275.5
434.0,547.0,925.0,136.0,510.5
182.0,3.0,569.0,565.0,329.75
920.0,151.0,637.0,22.0,432.5
292.0,152.0,170.0,405.0,254.75
69.0,488.0,855.0,206.0,404.5
158.0,47.0,317.0,408.0,232.5
54.0,243.0,450.0,61.0,202.0
144.0,143.0,51.0,529.0,216.75
708.0,149.0,186.0,331.0,343.5
141.0,955.0,345.0,635.0,519.0
283.0,418.0,95.0,119.0,228.75
336.0,706.0,703.0,47.0,448.0
608.0,909.0,385.0,1.0,475.75
245.0,768.0,725.0,946.0,671.0
429.0,0.0,548.0,403.0,345.0
133.0,709.0,246.0,478.0,391.5
671.0,663.0,81.0,811.0,556.5
237.0,878.0,133.0,282.0,382.5
993.0,804.0,392.0,282.0,617.75
40.0,611.0,150.0,265.0,266.5
5.0,204.0,114.0,78.0,100.25
191.0,75.0,429.0,691.0,346.5
707.0,368.0,881.0,995.0,737.75
240.0,200.0,908.0,569.0,479.25
866.0,596.0,856.0,644.0,740.5
794.0,278.0,506.0,98.0,419.0
271.0,122.0,932.0,812.0,534.25
902.0,198.0,89.0,778.0,491.75
323.0,106.0,938.0,311.0,419.5
489.0,482.0,204.0,461.0,409.0
735.0,585.0,126.0,714.0,540.0
678.0,231.0,262.0,230.0,350.25
655.0,755.0,449.0,691.0,637.5
910.0,519.0,221.0,781.0,607.75
382.0,214.0,289.0,700.0,396.25
736.0,521.0,965.0,713.0,733.75
397.0,168.0,183.0,890.0,409.5
432.0,762.0,515.0,17.0,431.5
179.0,178.0,398.0,897.0,413.0
651.0,628.0,570.0,320.0,542.25
546.0,384.0,965.0,60.0,488.75
748.0,699.0,228.0,538.0,553.25
345.0,837.0,37.0,886.0,526.25
491.0,667.0,762.0,529.0,612.25
246.0,960.0,416.0,865.0,621.75
265.0,189.0,58.0,917.0,357.25
331.0,919.0,23.0,702.0,493.75
445.0,453.0,763.0,433.0,523.5
827.0,363.0,865.0,409.0,616.0
836.0,575.0,31.0,86.0,382.0
9.0,829.0,220.0,755.0,453.25
595.0,11.0,366.0,932.0,476.0
994.0,262.0,16.0,74.0,336.5
128.0,679.0,491.0,292.0,397.5
543.0,62.0,873.0,262.0,435.0
649.0,565.0,334.0,209.0,439.25
488.0,347.0,408.0,682.0,481.25
368.0,639.0,370.0,716.0,523.25
232.0,130.0,839.0,728.0,482.25
971.0,611.0,348.0,22.0,488.0
310.0,880.0,754.0,675.0,654.75
119.0,214.0,314.0,549.0,299.0
488.0,656.0,177.0,599.0,480.0
217.0,612.0,707.0,27.0,390.75
945.0,124.0,759.0,236.0,516.0
930.0,887.0,345.0,769.0,732.75
967.0,392.0,155.0,389.0,475.75
998.0,605.0,754.0,137.0,623.5
463.0,692.0,708.0,435.0,574.5
289.0,291.0,65.0,733.0,344.5
432.0,425.0,890.0,404.0,537.75
825.0,826.0,78.0,288.0,504.25
113.0,481.0,115.0,944.0,413.25
644.0,637.0,65.0,218.0,391.0
181.0,706.0,268.0,181.0,334.0
232.0,776.0,620.0,900.0,632.0
784.0,191.0,479.0,490.0,486.0
754.0,61.0,23.0,59.0,224.25
813.0,323.0,949.0,797.0,720.5
461.0,279.0,559.0,858.0,539.25
503.0,186.0,217.0,749.0,413.75
230.0,992.0,726.0,746.0,673.5
723.0,595.0,451.0,704.0,618.25
614.0,61.0,23.0,668.0,341.5
890.0,554.0,529.0,914.0,721.75
224.0,316.0,745.0,616.0,475.25
870.0,894.0,867.0,410.0,760.25
602.0,209.0,415.0,80.0,326.5
460.0,490.0,185.0,543.0,419.5
7.0,470.0,938.0,711.0,531.5
685.0,779.0,77.0,985.0,631.5
787.0,256.0,43.0,927.0,503.25
585.0,488.0,560.0,198.0,457.75
927.0,533.0,834.0,227.0,630.25
201.0,463.0,434.0,490.0,397.0
781.0,150.0,906.0,259.0,524.0
67.0,586.0,591.0,46.0,322.5
647.0,380.0,815.0,382.0,556.0
33.0,546.0,633.0,57.0,317.25
972.0,61.0,512.0,148.0,423.25
692.0,328.0,257.0,527.0,451.0
593.0,535.0,990.0,571.0,672.25
984.0,344.0,520.0,101.0,487.25
649.0,518.0,624.0,486.0,569.25
891.0,124.0,155.0,684.0,463.5
633.0,888.0,145.0,548.0,553.5
423.0,118.0,952.0,613.0,526.5
30.0,156.0,684.0,20.0,222.5
627.0,487.0,335.0,803.0,563.0
472.0,824.0,620.0,608.0,631.0
687.0,960.0,299.0,155.0,525.25
193.0,445.0,22.0,834.0,373.5
2.0,407.0,274.0,517.0,300.0
128.0,708.0,84.0,837.0,439.25
864.0,343.0,548.0,3.0,439.5
913.0,533.0,546.0,678.0,667.5
75.0,553.0,773.0,550.0,487.75
998.0,214.0,471.0,667.0,587.5
999.0,694.0,676.0,565.0,733.5
560.0,840.0,945.0,99.0,611.0
139.0,346.0,982.0,119.0,396.5
864.0,977.0,1.0,136.0,494.5
665.0,210.0,355.0,340.0,392.5
251.0,33.0,629.0,629.0,385.5
238.0,116.0,597.0,542.0,373.25
36.0,74.0,544.0,614.0,317.0
454.0,301.0,723.0,924.0,600.5
228.0,177.0,367.0,751.0,380.75
170.0,130.0,709.0,231.0,310.0
661.0,470.0,825.0,228.0,546.0
924.0,645.0,517.0,124.0,552.5
121.0,643.0,699.0,820.0,570.75
642.0,555.0,829.0,754.0,695.0
853.0,647.0,304.0,938.0,685.5
749.0,968.0,681.0,311.0,677.25
602.0,382.0,737.0,671.0,598.0
839.0,663.0,202.0,817.0,630.25
488.0,135.0,206.0,116.0,236.25
866.0,388.0,392.0,140.0,446.5
653.0,761.0,452.0,437.0,575.75
816.0,193.0,572.0,699.0,570.0
937.0,79.0,822.0,465.0,575.75
716.0,414.0,86.0,888.0,526.0
341.0,458.0,237.0,904.0,485.0
371.0,846.0,640.0,816.0,668.25
615.0,805.0,596.0,389.0,601.25
276.0,316.0,142.0,542.0,319.0
349.0,544.0,992.0,298.0,545.75
324.0,986.0,522.0,374.0,551.5
859.0,19.0,779.0,754.0,602.75
124.0,382.0,63.0,146.0,178.75
435.0,16.0,274.0,956.0,420.25
122.0,35.0,273.0,281.0,177.75
98.0,797.0,432.0,873.0,550.0
610.0,531.0,434.0,251.0,456.5
8.0,835.0,839.0,147.0,457.25
669.0,115.0,381.0,141.0,326.5
902.0,512.0,887.0,268.0,642.25
123.0,71.0,371.0,688.0,313.25
