A,B,C,D,AVERAGE
481.0,162.0,5.0,541.0,297.25
767.0,366.0,922.0,984.0,759.75
891.0,195.0,920.0,525.0,632.75
968.0,349.0,732.0,640.0,672.25
515.0,942.0,133.0,819.0,602.25
252.0,552.0,698.0,946.0,612.0
565.0,446.0,763.0,810.0,646.0
248.0,102.0,52.0,133.0,133.75
450.0,587.0,701.0,268.0,501.5
75.0,561.0,869.0,827.0,583.0
284.0,322.0,833.0,748.0,546.75
179.0,58.0,334.0,19.0,147.5
843.0,207.0,294.0,697.0,510.25
508.0,843.0,686.0,138.0,543.75
288.0,244.0,843.0,412.0,446.75
201.0,644.0,242.0,853.0,-50.0
486.0,353.0,452.0,232.0,380.75
313.0,228.0,456.0,145.0,285.5
207.0,842.0,779.0,706.0,633.5
662.0,245.0,453.0,293.0,413.25
124.0,382.0,63.0,146.0,178.75
45.0,937.0,152.0,315.0,-50.0
731.0,937.0,588.0,70.0,581.5
656.0,160.0,364.0,362.0,385.5
74.0,700.0,632.0,220.0,406.5
430.0,804.0,18.0,770.0,505.5
285.0,472.0,59.0,153.0,242.25
188.0,34.0,652.0,402.0,319.0
292.0,314.0,657.0,226.0,372.25
665.0,210.0,355.0,340.0,392.5
982.0,733.0,52.0,836.0,650.75
488.0,217.0,333.0,324.0,340.5
711.0,554.0,839.0,546.0,662.5
576.0,539.0,576.0,283.0,493.5
627.0,789.0,453.0,556.0,606.25
971.0,242.0,355.0,310.0,469.5
699.0,823.0,693.0,123.0,584.5
518.0,206.0,405.0,238.0,341.75
893.0,809.0,648.0,483.0,-50.0
83.0,683.0,721.0,671.0,539.5
772.0,409.0,494.0,215.0,472.5
547.0,746.0,18.0,938.0,562.25
200.0,278.0,395.0,851.0,431.0
891.0,124.0,155.0,684.0,463.5
92.0,917.0,388.0,536.0,483.25
251.0,609.0,4.0,806.0,417.5
145.0,61.0,261.0,820.0,321.75
736.0,174.0,405.0,21.0,334.0
397.0,733.0,67.0,183.0,345.0
662.0,287.0,220.0,850.0,-50.0
502.0,538.0,588.0,733.0,590.25
834.0,213.0,264.0,879.0,547.5
114.0,559.0,838.0,8.0,379.75
884.0,541.0,409.0,432.0,566.5
763.0,251.0,279.0,469.0,440.5
559.0,29.0,237.0,505.0,332.5
645.0,136.0,238.0,663.0,420.5
8.0,414.0,430.0,947.0,449.75
992.0,767.0,156.0,872.0,696.75
391.0,804.0,240.0,982.0,604.25
835.0,189.0,607.0,872.0,625.75
988.0,56.0,347.0,592.0,495.75
707.0,967.0,805.0,687.0,791.5
290.0,324.0,24.0,545.0,295.75
46.0,492.0,458.0,5.0,250.25
478.0,599.0,278.0,168.0,380.75
261.0,574.0,137.0,900.0,468.0
726.0,931.0,921.0,216.0,698.5
979.0,415.0,592.0,850.0,709.0
