A,B,C,D,AVERAGE
378.0,503.0,952.0,632.0,616.25
880.0,388.0,983.0,405.0,-50.0
764.0,794.0,297.0,192.0,-50.0
761.0,703.0,498.0,172.0,-50.0
777.0,125.0,447.0,396.0,-50.0
675.0,984.0,497.0,225.0,595.25
282.0,970.0,397.0,437.0,-50.0
266.0,636.0,346.0,155.0,350.75
909.0,209.0,715.0,371.0,551.0
846.0,803.0,286.0,843.0,694.5
691.0,433.0,598.0,931.0,663.25
829.0,829.0,369.0,194.0,555.25
649.0,715.0,558.0,108.0,507.5
696.0,877.0,510.0,47.0,-50.0
438.0,768.0,832.0,134.0,543.0
119.0,805.0,214.0,411.0,387.25
289.0,190.0,404.0,317.0,-50.0
484.0,616.0,595.0,377.0,-50.0
981.0,451.0,633.0,24.0,522.25
221.0,161.0,454.0,496.0,333.0
427.0,761.0,190.0,2.0,-50.0
714.0,189.0,714.0,819.0,609.0
98.0,410.0,724.0,122.0,-50.0
160.0,208.0,69.0,655.0,-50.0
708.0,354.0,161.0,994.0,-50.0
767.0,402.0,900.0,848.0,729.25
397.0,802.0,530.0,760.0,622.25
759.0,556.0,938.0,428.0,-50.0
358.0,594.0,698.0,61.0,427.75
179.0,961.0,500.0,759.0,-50.0
665.0,935.0,752.0,383.0,683.75
494.0,683.0,881.0,319.0,-50.0
330.0,861.0,353.0,225.0,442.25
354.0,511.0,131.0,967.0,490.75
581.0,656.0,336.0,211.0,446.0
295.0,119.0,13.0,480.0,226.75
62.0,712.0,710.0,904.0,597.0
106.0,348.0,228.0,980.0,415.5
950.0,355.0,71.0,935.0,577.75
295.0,339.0,93.0,704.0,-50.0
26.0,909.0,808.0,607.0,-50.0
322.0,687.0,658.0,751.0,-50.0
118.0,470.0,970.0,676.0,558.5
839.0,663.0,202.0,817.0,630.25
7.0,9.0,745.0,102.0,215.75
391.0,797.0,744.0,627.0,-50.0
6.0,282.0,706.0,204.0,-50.0
866.0,285.0,701.0,469.0,-50.0
905.0,333.0,361.0,965.0,-50.0
668.0,254.0,212.0,302.0,359.0
392.0,49.0,585.0,471.0,374.25
139.0,346.0,982.0,119.0,396.5
69.0,488.0,855.0,206.0,-50.0
845.0,890.0,802.0,731.0,-50.0
913.0,261.0,233.0,546.0,-50.0
824.0,109.0,904.0,353.0,-50.0
732.0,901.0,801.0,411.0,711.25
31.0,258.0,565.0,426.0,320.0
351.0,884.0,571.0,341.0,-50.0
461.0,459.0,106.0,0.0,-50.0
177.0,111.0,22.0,735.0,261.25
760.0,508.0,566.0,595.0,607.25
854.0,686.0,69.0,692.0,-50.0
861.0,31.0,833.0,169.0,-50.0
798.0,728.0,384.0,919.0,707.25
264.0,226.0,18.0,444.0,-50.0
