num_countries,years_school,height,who_am_I
4,7.0,4.5430382820673465,Adult
1,1.0,3.8971396292798897,Child
9,0.0,2.8448164159988583,Child
0,0.0,2.9289945334084533,Child
1,0.0,2.711535334599561,Child
0,3.0,3.090005023390993,Child
4,0.0,4.015289510626115,Child
7,4.0,3.833047260364812,Child
0,0.0,2.675222815007234,Child
8,0.0,1.96854799181822,Child
3,0.0,2.4559622997470676,Child
1,3.0,3.741541323669244,Child
3,0.0,2.9391989911958785,Child
0,3.0,3.5551497856355248,Child
4,3.0,3.7245909078750365,Child
0,3.0,3.0490368807570434,Child
2,1.0,3.098980551821938,Child
0,10.0,5.543490675464138,Child
0,2.0,3.965224716691721,Child
2,3.0,4.143595857191611,Child
13,9.0,5.844600067353781,Child
0,1.0,3.4515397599805526,Child
2,0.0,2.112744832704958,Child
4,1.0,4.002348605492982,Child
0,0.0,1.950898982184106,Child
4,3.0,3.5400785373722985,Child
4,0.0,3.566657577659092,Child
0,2.0,6.009097004003964,Child
7,0.0,2.8380925665676546,Child
11,3.0,3.4779941449772327,Child
0,2.0,3.8564127072419563,Child
0,1.0,3.2952080595208537,Child
0,0.0,2.3242331360407023,Child
0,1.0,3.683155025241593,Child
1,0.0,0.8210443578175215,Child
0,0.0,0.22620594938342364,Child
7,0.0,2.417828651716825,Child
1,0.0,2.903216199945056,Child
5,0.0,3.924028606512419,Child
7,0.0,0.2609748128619054,Child
6,4.0,3.7036870686098013,Child
0,0.0,2.433905647370989,Child
5,0.0,3.924028606512419,Child
0,2.0,3.961801422212554,Child
9,0.0,2.4653872294119212,Child
1,0.0,2.016474235072949,Child
3,2.0,3.9889190871573947,Child
8,0.0,2.130115347216061,Child
3,15.0,5.2131269563250715,Child
1,0.0,1.7750337955121465,Child
0,2.0,3.9513012442454714,Child
0,0.0,1.6886866654746937,Child
0,0.0,1.3511477516104176,Child
9,6.0,5.780452195442297,Child
6,0.0,2.6717662357310896,Child
4,0.0,3.511431703703618,Child
0,0.0,2.4689114882032026,Child
6,3.0,3.1069339186535583,Child
3,0.0,5.305938826246594,Child
3,13.0,6.424102554298112,Child
8,0.0,3.361993150656158,Child
4,1.0,3.9409542720382493,Child
14,0.0,2.833988399085986,Child
0,0.0,2.9211030232362587,Child
0,14.0,4.5841606087000475,Child
0,0.0,2.334498345186247,Child
0,0.0,2.0354832174481134,Child
1,0.0,1.690193109475576,Child
5,0.0,0.5997179702499862,Child
