num_countries,years_school,height,who_am_I
0,0,3.62,child
7,8,5.45,adult
9,1,3.59,child
7,15,4.24,child
6,4,5.75,adult
3,1,3.84,child
8,1,5.22,adult
0,10,5.16,adult
5,1,2.08,child
3,1,3.1,child
4,5,5.56,adult
0,12,5.36,adult
5,8,4.17,child
2,16,5.33,adult
0,1,2.89,child
1,0,2.47,child
3,5,5.34,adult
3,0,2.6,child
3,16,4.99,adult
3,2,3.09,child
6,16,5.67,child
0,14,5.9,child
6,18,6.29,adult
1,10,5.5,adult
0,14,5.4,adult
3,5,5.38,adult
7,0,5.39,child
0,2,5.72,adult
0,13,5.62,adult
5,4,5.71,adult
7,7,4.62,child
7,11,5.62,adult
3,15,4.76,child
9,8,4.04,child
6,19,5.72,child
1,4,4.56,adult
9,12,5.76,adult
7,12,5.84,adult
9,15,4.86,adult
9,10,5.5,adult
6,19,5.08,adult
9,13,5.17,adult
1,7,5.69,adult
5,17,5.28,adult
4,1,4.54,child
2,0,2.6,child
0,6,5.7,adult
3,0,3.38,child
7,5,5.86,adult
8,7,5.66,adult
3,17,5.92,child
4,12,5.85,adult
3,2,4.93,adult
0,12,4.81,child
9,10,4.43,child
5,16,5.14,child
0,0,2.08,child
8,7,4.88,adult
3,7,5.55,adult
2,10,5.58,adult
8,7,5.07,child
8,10,5.61,adult
1,0,2.07,child
9,6,6.24,adult
6,0,2.42,child
0,2,5.34,adult
8,15,4.46,child
8,19,5.6,adult
2,18,5.32,child
4,12,5.5,adult
6,2,5.78,adult
6,1,2.19,child
4,14,5.18,adult
9,14,5.54,adult
5,12,5.38,adult
5,6,5.38,adult
4,2,5.33,adult
7,7,5.95,adult
4,12,5.5,adult
9,9,4.04,child
1,11,5.8,child
4,11,6.42,adult
7,1,3.46,child
4,18,5.58,adult
1,6,5.73,adult
0,0,2.28,child
2,5,4.75,adult
6,8,5.44,child
4,2,3.59,child
9,15,5.53,child
1,16,5.48,adult
3,8,4.09,child
4,14,5.06,adult
1,10,5.8,adult
3,15,4.99,child
1,12,5.75,child
3,9,4.91,adult
9,5,4.82,child
2,18,5.74,adult
7,1,3.26,child
5,17,5.19,child
