num_countries,years_school,height,who_am_I
6,2,3.56,child
0,3,6.03,adult
4,0,2.97,child
4,18,5.26,adult
7,10,4.33,child
3,0,2.56,child
1,12,4.89,child
2,3,5.92,adult
5,1,2.62,child
7,2,5.68,adult
6,0,5.83,adult
9,11,5.13,adult
1,1,2.2,child
2,19,5.87,adult
2,1,2.79,child
1,15,5.75,adult
2,13,5.6,adult
5,17,4.21,child
1,6,5.6,adult
8,8,5.54,child
2,8,4.86,child
9,13,6.05,adult
4,2,5.82,adult
1,16,5.53,adult
0,4,5.67,child
5,18,6.08,adult
6,1,2.81,child
9,10,5.6,adult
5,12,4.92,adult
9,2,3.34,child
3,18,5.26,child
4,8,6.04,adult
0,14,5.16,adult
4,3,4.39,child
0,2,3.12,child
5,1,2.78,child
6,3,5.77,adult
8,3,5.32,child
0,2,3.43,child
2,6,5.8,adult
2,0,2.11,child
9,14,5.07,adult
4,4,5.88,adult
2,1,2.86,child
5,1,2.57,child
6,6,5.73,child
5,5,4.99,adult
6,16,5.84,adult
4,10,5.58,adult
9,16,5.83,child
0,2,5.36,adult
1,16,5.32,child
7,8,5.58,adult
7,1,5.87,adult
7,12,5.06,adult
3,19,5.03,child
5,0,3.01,child
2,1,2.77,child
3,1,4.88,child
4,8,5.98,adult
1,19,5.53,adult
2,10,5.61,adult
0,6,4.82,child
4,2,4.03,child
0,2,3.31,child
5,13,5.45,adult
0,4,5.46,adult
3,6,5.26,child
4,14,5.93,adult
3,0,5.78,child
8,8,5.87,adult
9,12,5.37,adult
4,1,2.82,child
0,0,2.34,child
4,4,5.28,adult
6,10,5.36,adult
8,1,5.44,adult
0,0,3.8,child
1,1,2.63,child
1,11,4.74,adult
7,18,5.27,adult
0,12,5.63,child
4,0,3.91,child
2,14,4.83,child
1,1,3.52,child
4,19,4.64,child
8,7,4.08,child
3,12,5.38,adult
0,0,2.44,child
0,0,2.12,child
9,10,5.24,child
2,2,5.66,adult
0,12,5.85,adult
3,1,5.14,adult
0,12,4.23,child
6,0,2.19,child
3,9,5.25,adult
5,15,5.9,adult
9,5,5.31,adult
8,1,3.42,child
1,0,2.12,child
5,2,3.51,child
4,1,2.48,child
7,4,5.25,adult
3,17,5.63,adult
5,7,5.27,adult
3,5,5.58,adult
0,8,5.89,adult
5,14,5.47,adult
3,2,3.47,child
5,12,5.25,adult
9,2,5.88,child
4,12,4.88,child
8,5,5.68,child
7,6,5.82,adult
9,2,6.01,adult
0,0,2.11,child
7,13,5.88,child
9,1,3.12,child
0,12,5.29,adult
4,10,5.56,adult
5,4,5.52,child
4,19,5.49,child
5,1,2.67,child
5,1,3.37,child
3,12,5.67,child
8,3,4.76,adult
6,0,5.11,adult
3,14,5.93,adult
4,0,2.24,child
4,1,2.91,child
6,0,2.58,child
1,5,5.77,adult
4,9,4.76,child
9,17,4.97,adult
4,1,4.09,child
3,13,5.53,adult
2,0,2.73,child
5,1,2.02,child
0,16,5.82,adult
3,1,2.45,child
8,13,5.33,adult
3,0,2.22,child
5,4,5.42,adult
1,4,4.52,child
7,19,5.36,adult
5,2,3.09,child
4,11,4.73,child
0,2,3.36,child
3,11,5.36,adult
4,17,5.88,adult
2,1,2.14,child
3,16,5.45,adult
2,1,2.94,child
6,17,5.36,adult
4,3,5.55,adult
5,2,5.87,child
3,7,5.7,adult
4,3,5.57,child
2,12,5.9,adult
5,17,6.03,adult
3,13,4.77,child
1,0,2.55,child
6,2,3.05,child
0,1,3.25,child
0,19,5.78,adult
2,3,4.76,child
3,1,3.35,child
6,5,5.38,adult
2,1,5.86,adult
3,2,3.45,child
1,17,5.72,adult
4,0,2.91,child
7,17,5.07,adult
0,0,2.89,child
1,6,5.74,adult
1,0,3.51,child
5,0,3.73,child
3,1,2.85,child
1,1,3.93,child
6,11,6.08,adult
4,1,6.0,child
2,0,2.61,child
5,12,5.03,adult
5,14,5.43,adult
6,0,4.99,adult
5,13,5.23,adult
0,0,2.71,child
7,10,5.68,adult
2,10,4.8,adult
5,10,5.51,adult
0,0,3.81,child
5,15,5.28,child
3,10,5.34,adult
9,6,5.76,adult
0,9,5.28,adult
2,0,3.68,child
0,14,4.94,child
1,0,2.29,child
1,4,5.32,adult
2,0,2.37,child
4,2,4.1,child
8,12,5.11,adult
9,6,5.26,adult
7,1,5.57,child
2,1,2.26,child
2,5,6.04,adult
2,12,5.26,child
6,12,5.45,adult
4,0,3.03,child
7,5,4.69,adult
3,0,3.57,child
3,12,5.37,adult
3,8,5.57,adult
8,15,5.39,adult
6,8,5.68,adult
6,1,2.74,child
0,13,6.22,adult
8,10,5.43,adult
4,2,3.86,child
8,7,5.61,adult
3,0,3.23,child
5,1,3.52,child
0,0,4.29,child
4,11,5.92,child
6,4,5.8,child
1,2,5.68,adult
6,6,5.27,adult
9,12,5.5,child
7,0,3.22,child
0,14,5.32,adult
5,6,5.0,adult
7,3,5.55,adult
0,11,5.54,adult
1,1,3.6,child
6,18,4.61,child
2,1,2.4,child
3,0,3.65,child
6,16,5.4,adult
5,1,4.97,adult
1,15,5.68,adult
8,2,3.17,child
0,11,5.73,adult
6,6,5.68,adult
0,3,5.47,child
7,2,4.96,child
1,5,4.98,adult
2,2,3.41,child
5,18,6.09,adult
7,1,5.12,adult
