num_countries,years_school,height,who_am_I
8,22.0,6.240470531898744,Adult
8,17.0,5.0281048815078435,Adult
4,19.0,5.420883631493603,Adult
6,17.0,4.902651882257122,Adult
6,6.0,5.766682070947173,Adult
3,17.0,5.3804372321504434,Adult
0,9.0,4.222513501523443,Adult
0,21.0,5.746775740740019,Adult
0,21.0,5.273553225122283,Adult
7,11.0,6.159979284107555,Adult
0,4.0,6.234071754667275,Adult
9,18.0,6.426412491277633,Adult
1,6.0,5.69872195115443,Adult
0,3.0,5.3704919534503714,Adult
0,14.0,6.374605343626095,Adult
8,5.0,4.636469311980363,Adult
6,19.0,4.388481363796734,Adult
4,25.0,6.077216667252624,Adult
5,17.0,5.891572446678993,Adult
1,8.0,5.170164167776561,Adult
6,10.0,4.335864588393837,Adult
13,13.0,5.230670325628263,Adult
2,2.0,4.943930413266465,Adult
0,19.0,4.230824504049571,Adult
2,5.0,6.439789704722228,Adult
0,5.0,4.657235730025995,Adult
0,14.0,4.741741004812901,Adult
0,17.0,5.984091252096068,Adult
0,24.0,6.371650944535079,Adult
10,20.0,5.3580102040422215,Adult
8,14.0,5.943415556492126,Adult
0,14.0,4.556457138066012,Adult
0,25.0,4.6258808672569804,Adult
2,23.0,5.174930582171457,Adult
4,6.0,4.960394354888639,Adult
0,20.0,5.482645379926522,Adult
9,5.0,5.434457240375867,Adult
0,19.0,4.7802499849634295,Adult
0,19.0,5.474686734947046,Adult
1,23.0,4.599385801878805,Adult
9,2.0,5.511825199825241,Adult
8,19.0,5.2021653479013485,Adult
3,8.0,5.004701791743493,Adult
0,25.0,4.5469294530089295,Adult
0,8.0,4.756208517125146,Adult
3,15.0,6.2105902754311195,Adult
3,9.0,5.2286144355435935,Adult
3,1.0,5.734691299684553,Adult
0,3.0,4.95351501187543,Adult
0,0.0,5.4692530784353215,Adult
5,18.0,5.827930947047117,Adult
0,3.0,4.629585057353157,Adult
0,23.0,5.8484658608610145,Adult
0,18.0,5.255409147045615,Adult
1,15.0,5.4149273639501345,Adult
6,18.0,4.316131184441408,Adult
0,24.0,5.920127705869068,Adult
11,13.0,5.727180100449942,Adult
0,21.0,5.3918767856334595,Adult
0,20.0,5.5984965885224645,Adult
4,22.0,4.451879022248517,Adult
4,17.0,5.138155281392669,Adult
4,3.0,4.797322750768509,Adult
7,9.0,5.155534167783424,Adult
1,13.0,5.6109430871665005,Adult
2,18.0,4.2517019671891205,Adult
3,19.0,4.487645406054484,Adult
2,16.0,4.97536169275778,Adult
6,4.0,4.668120117611635,Adult
8,25.0,5.454246860142603,Adult
2,18.0,6.037298132520722,Adult
14,8.0,4.3900653349155245,Adult
5,20.0,6.049221976987309,Adult
0,21.0,4.75567039890341,Adult
0,0.0,5.4692530784353215,Adult
0,22.0,5.7729004188479385,Adult
6,23.0,6.30040318972755,Adult
0,21.0,6.262755709292854,Adult
0,1.0,4.236640936865377,Adult
0,2.0,6.3451028586662455,Adult
0,4.0,6.232242070739689,Adult
0,6.0,5.501193776903032,Adult
0,23.0,6.162549456498897,Adult
0,25.0,4.779694987863354,Adult
0,12.0,4.337422659974491,Adult
5,15.0,5.498691892295338,Adult
0,24.0,5.303758350757264,Adult
0,11.0,5.1512266095346515,Adult
3,1.0,5.734691299684553,Adult
4,21.0,4.345718262180748,Adult
0,5.0,4.378844158159595,Adult
0,23.0,5.207513583538498,Adult
9,16.0,5.195250308502693,Adult
5,13.0,5.253332440975472,Adult
2,15.0,6.121969590497475,Adult
2,8.0,6.414801750488062,Adult
9,24.0,5.745360096591615,Adult
5,19.0,5.938210268495065,Adult
2,7.0,4.216454979729943,Adult
0,24.0,4.557060971909016,Adult
2,15.0,4.480797181194236,Adult
0,16.0,5.6039768338102105,Adult
0,2.0,4.365150625833989,Adult
6,14.0,4.953614197484921,Adult
1,8.0,4.732410137819258,Adult
0,25.0,5.655797122589487,Adult
3,19.0,5.122747172837332,Adult
0,19.0,4.743056709296809,Adult
0,16.0,5.45706945060776,Adult
10,18.0,4.811657407652106,Adult
6,25.0,5.978877309625613,Adult
12,17.0,5.481331973501911,Adult
0,21.0,4.334989555082834,Adult
0,11.0,4.952571745629958,Adult
4,17.0,5.138155281392669,Adult
7,18.0,5.3659002334296435,Adult
