# num_countries,years_school,height,adult
2.00,0.00,2.20,0.00
0.00,5.00,5.97,9.00
12.00,7.00,4.53,11.00
3.00,1.00,2.87,0.00
17.00,14.00,5.55,1.00
3.00,1.00,2.81,0.00
9.00,1.00,3.37,0.00
2.00,1.00,2.09,0.00
8.00,2.00,3.50,0.00
14.00,0.00,4.22,0.00
10.00,12.00,3.77,1.00
7.00,6.00,5.85,9.00
13.00,10.00,5.07,6.00
1.00,0.00,2.09,0.00
8.00,9.00,5.11,10.00
8.00,1.00,3.88,0.00
13.00,14.00,5.83,1.00
2.00,1.00,5.57,0.00
0.00,0.00,2.89,0.00
17.00,6.00,5.15,6.00
12.00,1.00,5.56,0.00
8.00,11.00,4.07,1.00
6.00,0.00,3.14,0.00
16.00,10.00,3.57,0.00
18.00,9.00,4.66,11.00
0.00,0.00,2.69,0.00
1.00,3.00,5.75,0.00
3.00,0.00,2.44,0.00
4.00,4.00,5.72,6.00
4.00,10.00,5.24,13.00
18.00,6.00,3.88,0.00
4.00,12.00,5.99,1.00
19.00,0.00,4.12,0.00
1.00,8.00,3.51,0.00
1.00,0.00,2.96,0.00
2.00,1.00,2.22,0.00
10.00,14.00,5.92,1.00
6.00,4.00,4.67,0.00
17.00,5.00,5.92,5.00
18.00,1.00,3.18,0.00
15.00,1.00,4.32,0.00
1.00,7.00,4.86,9.00
1.00,12.00,5.13,1.00
12.00,10.00,4.53,0.00
16.00,4.00,4.85,0.00
14.00,7.00,4.00,0.00
11.00,11.00,4.70,1.00
0.00,0.00,2.58,0.00
6.00,3.00,5.51,5.00
2.00,0.00,2.12,0.00
0.00,1.00,2.13,0.00
2.00,1.00,2.70,0.00
11.00,0.00,3.35,0.00
13.00,12.00,5.92,1.00
8.00,6.00,3.67,0.00
5.00,0.00,3.15,0.00
1.00,1.00,2.71,0.00
15.00,12.00,5.48,1.00
18.00,11.00,5.34,1.00
13.00,11.00,4.13,1.00
11.00,0.00,4.61,0.00
0.00,9.00,5.71,9.00
7.00,7.00,4.20,0.00
5.00,0.00,3.18,0.00
13.00,13.00,3.66,1.00
8.00,9.00,4.82,0.00
11.00,2.00,3.20,0.00
0.00,1.00,2.55,0.00
11.00,8.00,5.18,0.00
11.00,14.00,5.79,1.00
13.00,8.00,4.52,0.00
3.00,1.00,2.62,0.00
4.00,10.00,4.71,14.00
18.00,9.00,5.98,7.00
13.00,1.00,3.59,0.00
8.00,1.00,5.12,5.00
10.00,1.00,5.89,0.00
0.00,1.00,5.26,0.00
0.00,1.00,2.78,0.00
3.00,0.00,2.21,0.00
9.00,5.00,5.45,0.00
19.00,4.00,5.96,0.00
0.00,0.00,2.34,0.00
3.00,0.00,2.83,0.00
6.00,4.00,4.23,0.00
1.00,13.00,4.02,1.00
13.00,0.00,3.20,0.00
10.00,9.00,4.46,0.00
18.00,11.00,5.37,1.00
2.00,0.00,3.00,0.00
2.00,1.00,2.20,0.00
9.00,7.00,4.75,6.00
12.00,13.00,5.99,1.00
6.00,12.00,3.51,1.00
17.00,4.00,5.34,7.00
15.00,0.00,3.03,0.00
5.00,12.00,5.38,1.00
1.00,4.00,3.73,0.00
6.00,7.00,5.34,8.00
1.00,1.00,2.55,0.00
5.00,0.00,3.26,0.00
1.00,2.00,3.09,0.00
6.00,1.00,4.44,0.00
9.00,0.00,3.37,0.00
9.00,2.00,3.28,0.00
16.00,0.00,5.36,0.00
10.00,4.00,5.82,6.00
8.00,1.00,3.43,0.00
14.00,11.00,4.46,1.00
19.00,9.00,5.75,9.00
7.00,8.00,3.93,0.00
7.00,4.00,4.01,0.00
19.00,2.00,5.16,0.00
12.00,8.00,5.22,10.00
0.00,2.00,5.63,6.00
3.00,5.00,4.22,0.00
14.00,14.00,4.03,1.00
18.00,14.00,5.20,1.00
13.00,0.00,3.86,0.00
19.00,0.00,3.06,0.00
19.00,9.00,3.54,0.00
5.00,1.00,3.19,0.00
16.00,2.00,3.78,0.00
1.00,3.00,5.83,0.00
8.00,14.00,5.73,1.00
1.00,4.00,3.94,0.00
17.00,0.00,3.45,0.00
9.00,0.00,3.08,0.00
1.00,11.00,5.64,1.00
6.00,0.00,5.13,0.00
16.00,11.00,4.35,1.00
7.00,0.00,6.00,0.00
7.00,12.00,5.59,1.00
15.00,11.00,5.61,1.00
5.00,5.00,4.01,0.00
5.00,11.00,5.38,1.00
5.00,3.00,5.68,0.00
4.00,7.00,3.73,0.00
0.00,6.00,5.56,0.00
9.00,2.00,3.32,0.00
6.00,3.00,4.68,0.00
8.00,1.00,4.09,0.00
12.00,0.00,3.62,0.00
6.00,0.00,3.54,0.00
7.00,14.00,4.87,1.00
2.00,8.00,5.64,7.00
4.00,2.00,3.19,0.00
6.00,9.00,3.87,0.00
14.00,4.00,4.98,0.00
9.00,7.00,5.87,0.00
0.00,7.00,5.65,7.00
4.00,0.00,3.10,0.00
2.00,0.00,2.65,0.00
16.00,8.00,4.12,0.00
11.00,1.00,5.46,5.00
3.00,1.00,2.81,0.00
10.00,6.00,4.35,0.00
1.00,1.00,2.26,0.00
8.00,0.00,3.32,0.00
13.00,12.00,4.35,1.00
11.00,12.00,4.29,1.00
8.00,3.00,4.20,0.00
7.00,0.00,3.29,0.00
1.00,1.00,2.30,0.00
8.00,0.00,5.41,0.00
2.00,1.00,2.91,0.00
5.00,3.00,5.81,0.00
17.00,5.00,4.29,0.00
6.00,0.00,3.31,0.00
19.00,5.00,5.52,0.00
11.00,6.00,5.84,0.00
5.00,3.00,5.20,0.00
9.00,12.00,5.81,1.00
9.00,5.00,4.40,0.00
2.00,1.00,2.94,0.00
10.00,12.00,5.32,1.00
17.00,2.00,3.32,0.00
6.00,0.00,5.14,0.00
3.00,1.00,2.05,0.00
4.00,2.00,3.82,0.00
3.00,1.00,2.51,0.00
1.00,11.00,4.26,1.00
3.00,1.00,2.73,0.00
2.00,0.00,2.02,0.00
11.00,12.00,5.86,1.00
14.00,9.00,4.40,0.00
8.00,6.00,5.85,0.00
0.00,0.00,2.95,0.00
8.00,11.00,3.75,1.00
12.00,0.00,4.11,0.00
4.00,12.00,5.59,1.00
13.00,1.00,3.50,0.00
4.00,3.00,4.59,0.00
17.00,13.00,4.10,1.00
2.00,1.00,2.65,0.00
10.00,6.00,5.64,0.00
8.00,14.00,4.59,1.00
10.00,3.00,4.89,0.00
16.00,2.00,3.10,0.00
16.00,13.00,5.22,1.00
9.00,8.00,4.56,10.00
1.00,11.00,4.11,1.00
7.00,9.00,3.92,0.00
2.00,0.00,2.61,0.00
8.00,10.00,5.71,5.00
10.00,6.00,3.63,0.00
18.00,2.00,3.03,0.00
19.00,0.00,4.83,0.00
8.00,6.00,5.45,10.00
3.00,1.00,2.04,0.00
1.00,0.00,2.88,0.00
12.00,8.00,4.97,0.00
4.00,12.00,3.70,1.00
11.00,2.00,3.87,0.00
15.00,11.00,4.91,1.00
5.00,9.00,5.19,0.00
11.00,2.00,3.15,0.00
5.00,4.00,3.95,0.00
2.00,0.00,2.91,0.00
14.00,0.00,3.03,0.00
15.00,2.00,5.22,6.00
5.00,8.00,5.27,0.00
12.00,0.00,3.18,0.00
0.00,2.00,3.87,0.00
16.00,11.00,5.45,1.00
1.00,4.00,3.58,0.00
2.00,0.00,2.10,0.00
15.00,0.00,5.00,0.00
14.00,13.00,3.90,1.00
13.00,3.00,3.88,0.00
6.00,9.00,5.79,12.00
3.00,1.00,2.55,0.00
15.00,7.00,5.92,6.00
3.00,0.00,2.63,0.00
12.00,10.00,5.34,0.00
3.00,0.00,2.43,0.00
3.00,12.00,5.33,1.00
13.00,12.00,4.13,1.00
18.00,10.00,3.57,0.00
6.00,12.00,5.82,1.00
3.00,1.00,2.65,0.00
5.00,9.00,5.28,0.00
18.00,12.00,5.51,1.00
2.00,1.00,2.57,0.00
10.00,1.00,3.25,0.00
10.00,0.00,5.22,0.00
5.00,3.00,5.57,7.00
18.00,3.00,5.74,5.00
7.00,13.00,4.48,1.00
8.00,2.00,5.66,0.00
19.00,10.00,4.84,5.00
13.00,3.00,5.45,0.00
17.00,8.00,4.38,0.00
2.00,0.00,2.75,0.00
10.00,1.00,3.02,0.00
0.00,1.00,2.39,0.00
0.00,0.00,2.86,0.00
1.00,12.00,5.02,1.00
0.00,1.00,2.86,0.00
11.00,2.00,3.01,0.00
3.00,9.00,5.62,8.00
6.00,10.00,3.70,0.00
5.00,0.00,5.40,0.00
1.00,1.00,2.84,0.00
14.00,2.00,5.34,6.00
4.00,1.00,3.13,0.00
6.00,2.00,4.33,0.00
15.00,13.00,4.56,1.00
1.00,0.00,5.83,0.00
5.00,7.00,5.55,0.00
2.00,0.00,2.38,0.00
14.00,5.00,5.59,0.00
10.00,4.00,3.91,0.00
12.00,1.00,5.75,5.00
0.00,8.00,3.88,0.00
7.00,9.00,4.14,0.00
2.00,0.00,2.30,0.00
16.00,1.00,3.57,0.00
17.00,8.00,5.34,12.00
0.00,1.00,2.82,0.00
19.00,3.00,5.42,7.00
12.00,5.00,4.16,0.00
