# num_countries,years_school,height,adult
0.00,1.00,5.05,0.00
8.00,12.00,5.17,1.00
0.00,0.00,2.95,0.00
8.00,13.00,5.81,1.00
0.00,1.00,2.15,0.00
4.00,5.00,4.67,1.00
0.00,0.00,2.83,0.00
1.00,10.00,5.15,1.00
1.00,12.00,5.40,1.00
0.00,1.00,2.33,0.00
0.00,1.00,2.03,0.00
1.00,3.00,5.89,0.00
13.00,3.00,4.78,1.00
6.00,4.00,5.26,0.00
1.00,1.00,2.59,0.00
14.00,12.00,4.25,1.00
6.00,0.00,5.31,0.00
5.00,13.00,5.88,1.00
19.00,13.00,5.56,1.00
1.00,2.00,3.53,0.00
2.00,0.00,2.25,0.00
1.00,1.00,2.20,0.00
1.00,0.00,2.91,0.00
16.00,4.00,5.67,0.00
0.00,2.00,5.06,0.00
17.00,1.00,3.43,0.00
7.00,10.00,3.71,0.00
9.00,3.00,5.64,0.00
3.00,1.00,2.34,0.00
18.00,8.00,4.18,0.00
5.00,7.00,4.13,0.00
2.00,1.00,2.42,0.00
8.00,14.00,5.63,1.00
6.00,2.00,3.86,0.00
8.00,3.00,5.45,0.00
8.00,7.00,4.75,1.00
12.00,12.00,4.71,1.00
0.00,1.00,2.06,0.00
3.00,14.00,5.52,1.00
18.00,2.00,3.21,0.00
0.00,0.00,2.76,0.00
4.00,4.00,5.25,0.00
18.00,13.00,4.24,1.00
18.00,11.00,5.27,1.00
2.00,11.00,4.15,1.00
0.00,0.00,3.14,0.00
17.00,2.00,3.38,0.00
0.00,0.00,2.82,0.00
13.00,2.00,3.78,0.00
6.00,3.00,4.10,0.00
13.00,6.00,5.77,0.00
15.00,1.00,3.38,0.00
3.00,1.00,2.11,0.00
5.00,2.00,3.14,0.00
11.00,5.00,4.12,0.00
14.00,12.00,5.75,1.00
4.00,8.00,5.51,1.00
4.00,6.00,5.33,1.00
13.00,11.00,5.05,1.00
1.00,8.00,5.88,1.00
5.00,12.00,5.13,1.00
13.00,3.00,4.23,0.00
16.00,2.00,3.42,0.00
6.00,11.00,5.64,1.00
16.00,9.00,5.57,1.00
18.00,3.00,4.39,0.00
10.00,3.00,5.19,0.00
11.00,0.00,3.42,0.00
19.00,4.00,3.62,0.00
10.00,12.00,4.69,1.00
2.00,0.00,2.65,0.00
0.00,0.00,2.75,0.00
12.00,13.00,4.30,1.00
0.00,1.00,2.32,0.00
2.00,1.00,2.77,0.00
0.00,0.00,4.02,0.00
2.00,0.00,2.42,0.00
3.00,9.00,3.55,0.00
3.00,1.00,2.13,0.00
13.00,2.00,3.02,0.00
11.00,0.00,3.23,0.00
17.00,2.00,3.46,0.00
16.00,3.00,4.07,0.00
3.00,7.00,3.96,0.00
19.00,8.00,3.98,0.00
12.00,1.00,3.91,0.00
9.00,12.00,4.35,1.00
14.00,8.00,5.89,1.00
1.00,8.00,4.77,1.00
13.00,7.00,5.79,0.00
6.00,2.00,3.42,0.00
1.00,0.00,2.55,0.00
17.00,0.00,3.05,0.00
1.00,0.00,4.13,0.00
2.00,3.00,4.34,0.00
11.00,6.00,5.40,1.00
1.00,5.00,5.46,1.00
12.00,2.00,3.67,0.00
3.00,3.00,4.14,0.00
18.00,7.00,3.84,0.00
14.00,4.00,3.79,0.00
7.00,3.00,3.59,0.00
17.00,12.00,5.57,1.00
13.00,14.00,5.79,1.00
2.00,7.00,4.34,0.00
17.00,11.00,5.26,1.00
11.00,13.00,3.81,1.00
13.00,1.00,4.52,0.00
13.00,7.00,4.68,1.00
9.00,3.00,4.59,1.00
14.00,8.00,5.90,1.00
2.00,0.00,2.81,0.00
16.00,6.00,5.50,0.00
12.00,2.00,3.35,0.00
1.00,1.00,2.65,0.00
0.00,13.00,4.72,1.00
12.00,8.00,4.14,0.00
11.00,1.00,4.40,0.00
10.00,1.00,5.85,0.00
0.00,0.00,2.20,0.00
9.00,1.00,5.45,0.00
15.00,5.00,4.93,1.00
7.00,7.00,5.95,1.00
18.00,5.00,5.68,1.00
14.00,0.00,5.20,0.00
1.00,0.00,2.31,0.00
6.00,2.00,3.19,0.00
17.00,5.00,5.45,0.00
7.00,11.00,4.60,1.00
16.00,1.00,3.00,0.00
13.00,0.00,3.11,0.00
1.00,1.00,3.98,0.00
6.00,1.00,3.08,0.00
6.00,2.00,3.43,0.00
3.00,0.00,2.11,0.00
7.00,6.00,4.76,0.00
10.00,7.00,5.88,0.00
17.00,0.00,3.32,0.00
3.00,12.00,4.35,1.00
17.00,1.00,4.37,0.00
1.00,12.00,5.48,1.00
1.00,0.00,2.72,0.00
17.00,1.00,4.49,0.00
18.00,2.00,3.12,0.00
0.00,1.00,3.21,0.00
16.00,1.00,3.44,0.00
