# num_countries,years_school,height,adult
6.00,0.00,3.36,0.00
12.00,14.00,4.76,1.00
8.00,13.00,5.41,1.00
0.00,1.00,2.88,0.00
0.00,1.00,2.76,0.00
2.00,5.00,4.70,0.00
3.00,4.00,4.76,5.00
17.00,0.00,5.32,0.00
4.00,6.00,5.83,6.00
2.00,1.00,2.61,0.00
2.00,0.00,2.06,0.00
15.00,0.00,3.37,0.00
1.00,8.00,4.33,0.00
18.00,4.00,5.72,8.00
1.00,1.00,5.02,0.00
7.00,0.00,3.33,0.00
3.00,0.00,2.77,0.00
11.00,0.00,5.47,0.00
14.00,12.00,3.54,1.00
2.00,7.00,5.14,0.00
10.00,4.00,4.05,0.00
13.00,2.00,3.12,0.00
18.00,0.00,3.01,0.00
2.00,1.00,2.13,0.00
2.00,1.00,2.18,0.00
14.00,9.00,5.55,0.00
9.00,3.00,5.15,0.00
7.00,9.00,5.23,5.00
1.00,12.00,4.27,1.00
7.00,10.00,5.92,14.00
0.00,1.00,2.61,0.00
19.00,2.00,4.69,0.00
1.00,1.00,2.41,0.00
13.00,12.00,4.65,1.00
8.00,3.00,5.97,7.00
8.00,0.00,4.78,0.00
3.00,0.00,2.84,0.00
3.00,1.00,3.32,0.00
10.00,0.00,4.86,0.00
12.00,1.00,3.03,0.00
16.00,0.00,3.31,0.00
13.00,12.00,3.64,1.00
16.00,8.00,5.79,12.00
0.00,2.00,3.07,0.00
0.00,0.00,2.44,0.00
4.00,10.00,4.82,0.00
1.00,1.00,2.99,0.00
11.00,6.00,4.92,10.00
19.00,11.00,5.39,1.00
1.00,13.00,5.50,1.00
