house,description
Gryffindor,"courage, bravery, nerve, and chivalry."
Hufflepuff," hard work, patience, justice, and loyalty."
Slytherin,"ambition, cunning, leadership, and resourcefulness."
Slytherin,founder highly valued and favoured pure-blood students
Slytherin,corresponds roughly with the element of water due to serpents and snakes being commonly associated with the sea and lochs
Slytherin,"Severus Snape and The Bloody Baron held abiding but unreturned feelings for Lily Evans and Helena Ravenclaw, respectively."
Slytherin, blood purity was a factor in selecting Slytherins. 
Slytherin,the light in the common room is green
Slytherin,"resourceful - they may not have all the answers, but they know how to use what they have"
Slytherin,"a high sense of self-preservation, ends justify the means, power hungry"
Slytherin,"However, a Muggle-Born student from that house is considered to be quite rare."
Slytherin,pride and that sometimes makes them arrogant.
Slytherin, believe in doing what is necessary
Ravenclaw,strive to do what is wise.
Ravenclaw,good sense of humor and are often quirky.
Ravenclaw,lead through wisdom and they will always use their brains to resolve any situation.
Ravenclaw,intelligent - their biggest trait
Ravenclaw,"cliques - they prefer to stay to themselves and study, rarely interacting with others during assignments"
Ravenclaw,Arrogant - they look down on others on occasion since they are attractive and have good grades
Ravenclaw,"common room is in a tower, and their password is answering a riddle"
Ravenclaw,the House colours were chosen; blue and bronze represent the sky and eagle feathers respectively
Ravenclaw,"learning, wisdom, wit, and intellect in its members."
Ravenclaw,known to be logical and rational.
Ravenclaw,"they’re well-known for being welcoming and encouraging of creativity, eccentricity and individuality and being very accepting."
Ravenclaw,"The emblematic animal symbol is an eagle, and blue and bronze are its colours."
Hufflepuff,"valuing hard work, dedication, patience, loyalty, and fair play "
Hufflepuff,"hard-working, friendly, loyal, honest and rather impartial."
Hufflepuff,appears to have the least rivalry with the other houses
Hufflepuff,house that produced the fewest dark wizards through out its history
Hufflepuff,dormitory is a quite cosy and welcoming place
Hufflepuff,"are not as competitive as the other houses, and are more modest about their accomplishments. "
Hufflepuff,Their cheerful and friendly demeanour can probably account for this property of the House.
Hufflepuff,humble - they are modest and meek
Hufflepuff,"benevolence -  They do the right thing because it's the right thing, not for glory or selfish reasons"
Hufflepuff,lack of drive - they have a very low competitive nature. This hurts them when it comes to points.
