# num_countries,years_school,height,adult
2.00,8.00,5.77,0.00
4.00,0.00,5.60,0.00
3.00,9.00,5.06,0.00
70.00,19.00,5.68,1.00
60.00,5.00,4.93,1.00
1.00,9.00,5.16,0.00
66.00,4.00,3.77,1.00
9.00,16.00,2.55,0.00
6.00,6.00,5.71,0.00
64.00,12.00,3.37,1.00
62.00,12.00,2.97,1.00
87.00,2.00,4.14,1.00
25.00,4.00,4.52,1.00
4.00,8.00,5.32,0.00
15.00,16.00,5.75,1.00
31.00,7.00,3.53,1.00
0.00,3.00,5.56,0.00
55.00,9.00,2.78,1.00
90.00,0.00,4.23,1.00
76.00,9.00,3.28,1.00
4.00,1.00,5.69,0.00
9.00,7.00,5.81,0.00
30.00,17.00,5.59,1.00
16.00,2.00,3.98,1.00
4.00,9.00,2.32,0.00
79.00,7.00,3.28,1.00
29.00,17.00,2.61,1.00
8.00,6.00,5.75,0.00
2.00,5.00,5.10,0.00
83.00,17.00,5.33,1.00
5.00,5.00,5.70,0.00
8.00,5.00,5.75,0.00
32.00,14.00,3.50,1.00
78.00,10.00,4.73,1.00
7.00,3.00,5.68,0.00
5.00,7.00,5.37,0.00
1.00,3.00,5.25,0.00
3.00,4.00,5.47,0.00
2.00,4.00,5.67,0.00
69.00,4.00,2.55,1.00
6.00,8.00,5.36,0.00
3.00,3.00,5.23,0.00
6.00,1.00,5.25,0.00
0.00,9.00,5.26,0.00
8.00,5.00,5.36,0.00
22.00,6.00,5.17,1.00
16.00,6.00,2.31,1.00
9.00,19.00,2.71,0.00
2.00,7.00,5.71,0.00
58.00,0.00,4.99,1.00
0.00,1.00,5.58,0.00
4.00,4.00,6.31,0.00
15.00,9.00,5.55,1.00
44.00,5.00,5.65,1.00
71.00,8.00,3.89,1.00
27.00,8.00,4.76,1.00
54.00,2.00,2.20,1.00
72.00,6.00,5.07,1.00
5.00,1.00,5.74,0.00
3.00,7.00,5.86,0.00
68.00,5.00,2.67,1.00
9.00,4.00,5.76,0.00
81.00,13.00,4.24,1.00
1.00,1.00,5.66,0.00
9.00,8.00,5.47,0.00
31.00,11.00,3.03,1.00
1.00,10.00,5.31,0.00
22.00,1.00,5.00,1.00
0.00,10.00,5.89,0.00
17.00,17.00,3.14,1.00
60.00,3.00,4.44,1.00
6.00,3.00,5.83,0.00
25.00,8.00,2.86,1.00
40.00,13.00,4.96,1.00
63.00,12.00,2.31,1.00
94.00,8.00,2.81,1.00
3.00,14.00,3.98,0.00
78.00,8.00,4.91,1.00
14.00,9.00,3.32,1.00
52.00,12.00,4.62,1.00
9.00,2.00,5.46,0.00
10.00,7.00,2.78,0.00
0.00,5.00,5.42,0.00
5.00,10.00,5.90,0.00
56.00,4.00,3.47,1.00
2.00,7.00,5.31,0.00
6.00,5.00,5.91,0.00
5.00,10.00,5.32,0.00
8.00,2.00,3.41,0.00
82.00,13.00,5.77,1.00
78.00,3.00,4.09,1.00
3.00,3.00,6.03,0.00
1.00,9.00,5.23,0.00
7.00,5.00,5.39,0.00
5.00,1.00,4.77,1.00
29.00,6.00,5.88,1.00
3.00,6.00,5.72,0.00
8.00,6.00,5.75,0.00
8.00,1.00,5.21,0.00
47.00,1.00,3.94,1.00
4.00,0.00,5.67,0.00
63.00,15.00,3.00,1.00
57.00,17.00,4.77,1.00
28.00,7.00,4.84,1.00
0.00,1.00,5.25,0.00
1.00,0.00,5.67,0.00
31.00,1.00,4.76,1.00
90.00,15.00,3.00,1.00
0.00,10.00,5.62,0.00
1.00,5.00,5.93,0.00
11.00,10.00,4.81,1.00
9.00,10.00,5.06,0.00
3.00,9.00,5.80,0.00
6.00,8.00,5.97,0.00
24.00,1.00,2.95,1.00
3.00,4.00,5.79,0.00
74.00,0.00,4.67,1.00
0.00,8.00,5.92,0.00
45.00,8.00,2.92,1.00
4.00,6.00,5.68,0.00
7.00,9.00,5.70,0.00
66.00,3.00,4.47,1.00
21.00,7.00,5.58,1.00
3.00,10.00,5.22,0.00
1.00,9.00,5.68,0.00
56.00,18.00,2.85,1.00
5.00,2.00,5.78,0.00
7.00,7.00,5.69,0.00
5.00,3.00,5.64,0.00
7.00,4.00,5.34,0.00
4.00,2.00,5.54,0.00
8.00,7.00,5.52,0.00
9.00,1.00,5.22,0.00
48.00,6.00,5.07,1.00
4.00,4.00,5.73,0.00
27.00,9.00,5.32,1.00
7.00,8.00,5.16,0.00
5.00,7.00,5.63,0.00
0.00,6.00,5.69,0.00
6.00,1.00,5.97,0.00
86.00,5.00,5.40,1.00
77.00,11.00,2.43,1.00
1.00,7.00,5.40,0.00
5.00,5.00,5.31,0.00
6.00,3.00,5.75,0.00
3.00,2.00,5.59,0.00
1.00,10.00,5.44,0.00
6.00,5.00,6.02,0.00
8.00,4.00,5.00,0.00
2.00,9.00,5.39,0.00
6.00,13.00,4.34,0.00
8.00,1.00,5.33,0.00
9.00,1.00,5.24,0.00
6.00,1.00,5.59,0.00
9.00,9.00,5.16,0.00
0.00,5.00,5.88,0.00
9.00,3.00,6.16,0.00
2.00,10.00,5.37,0.00
1.00,0.00,5.74,0.00
39.00,2.00,5.61,1.00
5.00,3.00,5.33,0.00
7.00,7.00,5.04,0.00
8.00,0.00,5.32,0.00
79.00,12.00,5.24,1.00
55.00,19.00,4.15,1.00
5.00,7.00,4.98,0.00
4.00,4.00,5.21,0.00
0.00,4.00,5.86,0.00
6.00,10.00,5.82,0.00
42.00,15.00,4.05,1.00
7.00,1.00,5.41,0.00
6.00,8.00,5.84,0.00
8.00,0.00,5.84,0.00
8.00,13.00,3.48,0.00
23.00,5.00,3.44,1.00
68.00,11.00,5.03,1.00
39.00,3.00,5.45,1.00
54.00,13.00,4.99,1.00
3.00,1.00,5.63,0.00
7.00,8.00,5.26,0.00
3.00,1.00,5.66,0.00
5.00,1.00,5.40,0.00
4.00,0.00,5.56,0.00
2.00,3.00,5.03,0.00
1.00,6.00,5.40,0.00
4.00,5.00,5.18,0.00
26.00,4.00,5.09,1.00
33.00,14.00,4.00,1.00
7.00,10.00,5.40,0.00
47.00,9.00,5.34,1.00
1.00,9.00,5.31,0.00
59.00,8.00,4.97,1.00
8.00,12.00,4.46,0.00
6.00,9.00,5.07,0.00
2.00,2.00,5.18,0.00
9.00,9.00,5.47,0.00
43.00,17.00,5.43,1.00
7.00,0.00,5.86,0.00
63.00,13.00,4.63,1.00
93.00,6.00,2.27,1.00
6.00,7.00,5.21,0.00
7.00,6.00,5.52,0.00
2.00,9.00,5.86,0.00
8.00,1.00,5.42,0.00
82.00,10.00,4.79,1.00
76.00,1.00,2.96,1.00
8.00,3.00,5.06,0.00
90.00,8.00,3.94,1.00
89.00,17.00,5.60,1.00
4.00,5.00,6.07,0.00
1.00,5.00,5.38,0.00
3.00,2.00,5.45,0.00
6.00,6.00,5.09,0.00
59.00,15.00,4.61,1.00
4.00,2.00,5.36,0.00
77.00,7.00,2.31,1.00
60.00,19.00,4.34,1.00
0.00,8.00,5.74,0.00
11.00,2.00,3.26,1.00
1.00,2.00,5.56,0.00
22.00,12.00,5.06,1.00
21.00,9.00,3.81,1.00
90.00,19.00,3.08,1.00
96.00,14.00,5.28,1.00
85.00,3.00,2.88,1.00
7.00,5.00,6.10,0.00
0.00,1.00,5.07,0.00
8.00,7.00,5.28,0.00
13.00,12.00,4.14,1.00
6.00,1.00,5.36,0.00
73.00,5.00,2.06,1.00
8.00,6.00,5.08,0.00
7.00,9.00,5.51,0.00
82.00,16.00,5.09,1.00
91.00,5.00,4.62,1.00
28.00,10.00,5.31,1.00
0.00,2.00,6.08,0.00
85.00,9.00,3.48,1.00
15.00,5.00,3.25,1.00
9.00,9.00,5.52,0.00
7.00,8.00,5.54,0.00
5.00,0.00,6.24,0.00
15.00,15.00,4.44,1.00
0.00,9.00,5.55,0.00
59.00,7.00,2.37,1.00
25.00,6.00,5.02,1.00
8.00,9.00,5.47,0.00
36.00,2.00,2.66,1.00
79.00,19.00,2.52,1.00
3.00,3.00,5.30,0.00
53.00,17.00,5.86,1.00
1.00,0.00,5.51,0.00
16.00,10.00,2.04,1.00
18.00,9.00,5.92,1.00
7.00,3.00,5.36,0.00
66.00,15.00,4.18,1.00
7.00,5.00,5.44,0.00
65.00,12.00,2.84,1.00
94.00,8.00,3.54,1.00
64.00,0.00,3.94,1.00
4.00,10.00,6.35,0.00
6.00,7.00,5.45,0.00
51.00,11.00,4.49,1.00
7.00,5.00,5.27,0.00
2.00,4.00,5.48,0.00
43.00,3.00,4.85,1.00
0.00,6.00,5.70,0.00
59.00,12.00,3.36,1.00
55.00,5.00,5.42,1.00
13.00,6.00,3.49,1.00
59.00,2.00,5.29,1.00
67.00,9.00,3.96,1.00
2.00,4.00,5.81,0.00
6.00,4.00,5.58,0.00
34.00,13.00,5.46,1.00
5.00,2.00,5.18,0.00
26.00,13.00,4.69,1.00
10.00,1.00,4.79,1.00
8.00,6.00,5.56,0.00
64.00,6.00,2.99,1.00
6.00,9.00,5.51,0.00
57.00,4.00,5.27,1.00
73.00,10.00,5.52,1.00
69.00,19.00,2.55,1.00
6.00,9.00,5.52,0.00
6.00,11.00,5.64,1.00
28.00,11.00,2.09,1.00
2.00,5.00,5.42,0.00
33.00,7.00,2.30,1.00
6.00,4.00,3.77,0.00
31.00,2.00,5.25,1.00
6.00,6.00,5.94,0.00
3.00,9.00,6.04,0.00
59.00,12.00,5.02,1.00
57.00,14.00,5.71,1.00
5.00,0.00,5.51,0.00
0.00,2.00,5.37,0.00
1.00,10.00,5.73,0.00
0.00,10.00,5.65,0.00
86.00,18.00,4.33,1.00
7.00,3.00,2.88,0.00
9.00,11.00,4.27,0.00
7.00,1.00,5.65,0.00
7.00,6.00,5.17,0.00
7.00,4.00,5.52,0.00
7.00,10.00,5.22,0.00
7.00,11.00,2.31,0.00
7.00,6.00,6.00,0.00
45.00,3.00,3.53,1.00
7.00,7.00,5.38,0.00
36.00,16.00,5.91,1.00
26.00,16.00,3.59,1.00
15.00,4.00,2.76,1.00
20.00,10.00,3.87,1.00
0.00,6.00,5.27,0.00
28.00,17.00,5.80,1.00
95.00,19.00,5.90,1.00
1.00,3.00,4.88,0.00
35.00,2.00,4.98,1.00
55.00,10.00,5.38,1.00
50.00,0.00,2.68,1.00
5.00,2.00,5.66,0.00
2.00,10.00,5.20,0.00
25.00,4.00,5.31,1.00
21.00,5.00,5.65,1.00
3.00,5.00,5.38,0.00
3.00,6.00,5.81,0.00
96.00,10.00,2.05,1.00
29.00,16.00,3.46,1.00
0.00,3.00,5.66,0.00
42.00,16.00,4.08,1.00
55.00,14.00,4.18,1.00
90.00,13.00,5.08,1.00
8.00,5.00,5.57,0.00
3.00,3.00,5.50,0.00
80.00,13.00,4.16,1.00
54.00,3.00,2.83,1.00
8.00,2.00,5.69,0.00
7.00,0.00,5.18,0.00
48.00,1.00,5.28,1.00
3.00,0.00,5.91,0.00
11.00,8.00,3.74,1.00
3.00,1.00,5.28,0.00
94.00,12.00,4.64,1.00
3.00,0.00,5.86,0.00
6.00,6.00,5.31,0.00
1.00,5.00,5.53,0.00
6.00,4.00,5.63,0.00
17.00,14.00,5.45,1.00
6.00,9.00,5.42,0.00
9.00,6.00,5.04,0.00
0.00,9.00,5.92,0.00
2.00,3.00,5.31,0.00
5.00,5.00,5.54,0.00
65.00,16.00,4.06,1.00
1.00,19.00,3.42,0.00
13.00,0.00,4.75,1.00
55.00,18.00,3.51,1.00
7.00,6.00,5.87,0.00
10.00,8.00,3.43,0.00
9.00,2.00,2.55,0.00
20.00,5.00,2.34,1.00
7.00,3.00,4.91,0.00
24.00,7.00,3.30,1.00
59.00,8.00,3.93,1.00
55.00,12.00,3.68,1.00
2.00,8.00,5.34,0.00
3.00,0.00,5.17,0.00
82.00,1.00,3.55,1.00
4.00,4.00,5.48,0.00
65.00,4.00,3.73,1.00
4.00,2.00,5.44,0.00
0.00,3.00,5.77,0.00
77.00,10.00,5.52,1.00
96.00,5.00,4.49,1.00
2.00,7.00,5.30,0.00
0.00,4.00,5.50,0.00
37.00,2.00,2.98,1.00
34.00,19.00,4.98,1.00
6.00,16.00,5.87,1.00
8.00,6.00,5.69,0.00
62.00,9.00,4.90,1.00
8.00,8.00,5.49,0.00
18.00,3.00,5.26,1.00
65.00,19.00,5.17,1.00
7.00,0.00,5.39,0.00
8.00,5.00,2.64,0.00
44.00,3.00,5.03,1.00
3.00,9.00,4.49,0.00
2.00,9.00,5.83,0.00
84.00,2.00,4.37,1.00
0.00,9.00,5.28,0.00
84.00,16.00,3.15,1.00
82.00,15.00,2.58,1.00
9.00,3.00,6.43,0.00
74.00,14.00,4.80,1.00
75.00,15.00,5.61,1.00
5.00,10.00,5.65,0.00
86.00,18.00,4.64,1.00
5.00,8.00,3.39,0.00
54.00,10.00,2.96,1.00
6.00,6.00,6.14,0.00
0.00,7.00,5.59,0.00
55.00,18.00,4.34,1.00
3.00,1.00,5.57,0.00
5.00,3.00,6.19,0.00
7.00,7.00,5.15,0.00
63.00,15.00,4.26,1.00
0.00,8.00,5.56,0.00
72.00,10.00,3.11,1.00
81.00,15.00,2.23,1.00
87.00,7.00,3.35,1.00
0.00,8.00,5.44,0.00
44.00,6.00,2.59,1.00
16.00,3.00,3.90,1.00
3.00,8.00,5.56,0.00
5.00,0.00,4.48,0.00
89.00,17.00,3.85,1.00
4.00,7.00,5.02,0.00
9.00,5.00,5.47,0.00
2.00,16.00,4.80,1.00
62.00,11.00,4.29,1.00
2.00,5.00,5.56,0.00
58.00,15.00,5.37,1.00
3.00,1.00,5.30,0.00
5.00,0.00,5.53,0.00
2.00,1.00,5.41,0.00
2.00,5.00,5.19,0.00
21.00,13.00,5.21,1.00
2.00,3.00,6.18,0.00
2.00,14.00,3.08,0.00
90.00,2.00,3.63,1.00
5.00,8.00,5.74,0.00
6.00,0.00,5.64,0.00
97.00,9.00,4.02,1.00
2.00,5.00,5.53,0.00
3.00,7.00,5.74,0.00
7.00,2.00,5.40,0.00
7.00,8.00,5.64,0.00
46.00,9.00,5.41,1.00
6.00,2.00,5.67,0.00
54.00,14.00,4.96,1.00
14.00,18.00,5.33,1.00
52.00,0.00,5.13,1.00
5.00,2.00,5.59,0.00
9.00,2.00,5.15,0.00
42.00,15.00,4.44,1.00
4.00,6.00,5.58,0.00
6.00,8.00,5.85,0.00
93.00,2.00,3.82,1.00
78.00,6.00,3.07,1.00
23.00,4.00,2.75,1.00
53.00,5.00,2.22,1.00
32.00,10.00,2.78,1.00
88.00,6.00,4.61,1.00
32.00,6.00,2.04,1.00
13.00,9.00,5.21,1.00
3.00,7.00,6.14,0.00
9.00,2.00,5.82,0.00
14.00,0.00,2.57,1.00
14.00,1.00,4.54,1.00
3.00,10.00,5.48,0.00
56.00,10.00,4.77,1.00
55.00,8.00,3.78,1.00
4.00,9.00,5.64,0.00
6.00,7.00,5.25,0.00
50.00,3.00,4.41,1.00
74.00,10.00,5.57,1.00
5.00,5.00,5.77,0.00
35.00,9.00,2.55,1.00
32.00,10.00,3.30,1.00
5.00,0.00,5.60,0.00
48.00,10.00,3.22,1.00
8.00,8.00,4.98,0.00
89.00,2.00,4.90,1.00
75.00,2.00,4.76,1.00
89.00,16.00,5.68,1.00
12.00,19.00,4.80,1.00
96.00,8.00,5.95,1.00
